model_name,model,dataset,source,lang,n,acc_zeroshot_pct,acc_baseline_sft_pct,acc_augmented_sft_pct,delta_aug_vs_baseline_pct,delta_aug_vs_zeroshot_pct
Gemma3-4B,gemma4,sib200,sft,vi,204,80.4,90.2,89.2,-1.0,8.8
Gemma3-4B,gemma4,sib200,sft,zh,204,81.4,87.7,84.8,-2.9,3.4
Gemma3-4B,gemma4,taxi1500,macro,en,111,38.7,82.0,79.3,-2.7,40.6
Gemma3-4B,gemma4,taxi1500,macro,ar,111,45.0,77.5,80.2,2.7,35.2
Gemma3-4B,gemma4,taxi1500,macro,de,111,49.5,73.9,76.6,2.7,27.1
Gemma3-4B,gemma4,taxi1500,macro,ru,111,47.7,76.6,78.4,1.8,30.7
Gemma3-4B,gemma4,taxi1500,macro,sw,111,52.3,74.8,77.5,2.7,25.2
Gemma3-4B,gemma4,taxi1500,macro,vi,111,44.1,80.2,81.1,0.9,37.0
Gemma3-4B,gemma4,taxi1500,macro,zh,111,40.5,81.1,78.4,-2.7,37.9
Gemma3-4B,gemma4,taxi1500,dgcf,en,111,38.7,82.0,78.4,-3.6,39.7
Gemma3-4B,gemma4,taxi1500,dgcf,ar,111,45.0,77.5,79.3,1.8,34.3
Gemma3-4B,gemma4,taxi1500,dgcf,de,111,49.5,73.9,75.7,1.8,26.2
Gemma3-4B,gemma4,taxi1500,dgcf,ru,111,47.7,76.6,74.8,-1.8,27.1
Gemma3-4B,gemma4,taxi1500,dgcf,sw,111,52.3,74.8,75.7,0.9,23.4
Gemma3-4B,gemma4,taxi1500,dgcf,vi,111,44.1,80.2,79.3,-0.9,35.2
Gemma3-4B,gemma4,taxi1500,dgcf,zh,111,40.5,81.1,73.9,-7.2,33.4
Gemma3-4B,gemma4,taxi1500,sft,en,111,38.7,82.0,78.4,-3.6,39.7
Gemma3-4B,gemma4,taxi1500,sft,ar,111,45.0,77.5,82.0,4.5,37.0
Gemma3-4B,gemma4,taxi1500,sft,de,111,49.5,73.9,75.7,1.8,26.2
